,문장,혐오 여부
3288,"이제 다들 중국발 미세먼지인거 알고
자료도 충분히 나오니까

최근에는 구독자 2~3천따리 유튜버가
""중국에 소각장이 많은건 맞다
하지만 그 쓰레기를 주변국가에서 수입해오고
그중 한국에서도 많은 쓰레기를 가져온다
그러니 미세먼지의 책임은 한국에게도 있다""

ㅇㅈㄹ하면서 댓글 ㅈㄴ달고 다니더라

걍 객관적인 논리와 지표로는 절대 이길수 없다
헛소리 하는 순간 대가리 날리는게 답",2
3289,@호뽑뽑요를레희호 몰 단체로 싸 미친놈들아 ㅋㅋㅋ,1
3290,일본인 무비자 입국제한 반대 동의 부탁드립니다.https://www1.president.go.kr/petitions/Temp/tEZnHb,1
3291,@Illumini 홍어씹버러지새끼 씹주둥이 호치케스로 쳐 박아불기전에 조용히 꺼져 씨벌럼아,1
3292,닭가슴살 한끼피자 먹고싶노,3
3293,"옳게된 걸그룹 ㅇㅂ

옳게된 소속사 ㅇㅂ",3
3294,노줄무 현타는 변명의 여지가 없다 사형,1
3295,@익명bafb3c 국내 80퍼니까 노마진에 팔아도 저거사려고 들어갔다가 다른것도 살듯,1
3296,만원버스나 지하철이 그렇게 꼴리더라,3
3297,조선족 짱깨새끼들 눈에 보이면 존나 다구리 밟아야한다 개새끼들,2
3298,애미 아직 있는데?,0
3299,"@♬피아니시모 프라임은 예전에 수입 많이해서 작은가게에도 있었는데 중국새끼들이 프라임맛을 알아버려서 그쪽으로 다간데 그래서 코스트코에도없고(초이스만있음),인터넷 뒤저보면 몇군데 있는데 품귀현상때문에 가격 애미뒤짐 프라임 먹지마",2
3300,처음에 인양한다고 했을때 반대 지랄 한것도 증거 탄로날까봐 그랬던거 아님?,1
3301,일단 여자인데 사과를 한다는것은 상위 1프로의 인성이다 여자가 사과 하는거 본적이 없다 무슨 잘못을해도 남탓 하더라,3
3302,"김대중때부터 의료보험 재정 맛탱이 가기 시작했다

주인없는 눈먼돈 가져가기 딱 좋지..
지금 보면 세금부담만큼 건보료 부담도 높음
하위 20%뺀 소득자 80%는
세금부담의 70%를 건보료로 냄
세금 100만원내면 건보료는 70만원정도 낸다

의료보험 뜯어먹을게 많으니 약사들이 의약분업 ㅈㄹ해서 연간 의료보험 재정 3조를 추가로 그냥 가져감
한의사 의료보험추가로 몇조원을 또 가져감
요양병원 지원금으로 졷나 나감.",1
3303,@순수치이 ㅇㅇ 김규리 청산가리 보지나 빨아라 븅신새끼야,3
3304,@익명ecf7b5 부들부들하노 씹틀딱새끼야?ㅋㅋㅋ,0
3305,타타대우차 켄보 짱개차만 가능,2
3306,"당시 한반도는 중국과 소련 영향을 동시에 받는 매우 좆같은 지리적인

요충지였음 남한만 공산화시키면 전쟁끝난지 얼마안된 일본 넘어오는것도

시간문제고 일본공산화 성공하면 동남아에 나라구실하는곳이 어디있겠냐

호주까지 위험해짐 이데홀로기 냉정시대에서 미국이 한반도에 병력투자

안할수가 없었던 상황이였다",2
3307,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
3308,주댕이만 열면 그짓말이여~,0
3309,@흝수저 ㄹㅇ,1
3310,"딱 정해준다

가카는 3년, 레카는 1년정도가 적당함",1
3311,사회주의 중국을 대국으로 모시고 싶은 자들의 허영에 꽉꽉 만족채움,2
3312,"의사협회, 감염학협회 수십차례 경고해도 개쳐무시하고 사태 종식된다던 새끼..
이미 퍼질대로 퍼졌지만 지금이라도 늦지않았다며 마지막 부탁한 의협말 깡그리무시하고 짱개 입국금지 끝까지 안한 새끼..
그결과 짱개에 kf94마스크 퍼주고 받을때는 부직포마스크로 받는 강철의 연금술사보다 더한 ㄹㅇ 연금술의 달인같은 새끼...
진원지인 짱개새끼들한테 노하우 배우라고 으름장듣는 병신찐따같은 새끼...
그와중에도 자국민보다는 북한걱정이 앞서는 그 새끼..
대단하다.. 재앙..!!!",1
3313,@익명376431 교활이란 말 안쓰면 안되냐,1
3314,"@범죄시리즈전문 일진은?

가정폭력 대부분이 연애결혼인데 남편이 밖에서는 인싸인데 집에서는 가정폭력 휘두름

남편도 어릴때 가정폭력 당함

어릴때 가정폭력 당한 남자가 밖에서는 인싸이고 여자도 잘꼬시면 그게 일진임",3
3315,19 27 31 봐야겠다,0
3316,태구민 화이팅 !!,1
3317,"@익명_6c34f5 닉값이 아니라 사실이야 돌대갈통 새끼야.

폭행해서 신고하면 남녀숫자비율상 남자경찰이 처리할확률 80- 90퍼고 법정가면 판사가 남자일 확률 80-90퍼일거고 여자 유리한 법 만든 국회의원 씹새끼들이 95퍼가 남자야 병신 돌대갈통 새끼야. 정작 남자 손바닥안에서 놀아나는게 여자다. 남자가 저리 여자 만든게 맞어 병신새끼야.",3
3318,시발 개웃기네 ㅋㅋㅋㅋㅋㅋ,3
3319,"@마데카솔후시딘 그런데 김미균 이거말고 스펙은 괜찮잖아
잘키워볼만도 한거 같은데 강남 떡하니 준게 오버지",1
3320,여기가 한국인지 북한인지,2
3321,와 씨발새끼 존나 멀쩡하누,0
3322,@보지씹창 문재앙이 했으면 무적권 고추뒤집고 공중제비돌면서 빼액거릴새키가 홍준표가 한다니까 엄근진 안경 한번스윽 올리면서 음..받을건받되 엄격하게 해야지 라고하는 우좀통1베의 소름돋는 모ㅡ습,3
3323,"와 남자새끼 존나 불쌍하다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ

전생에 도대체 무슨죄를 지었길래... 저런 애미터진 핵폐기물같은 개쓰레기년을 만났누 어휴.. 인생 ㅠㅠ",3
3324,머리가 다 깨저부럿는디 어케 눈을 뜨냥께요?,1
3325,아니 운동하는무식하고 빡대가린데 몰 기대하냐... 욕하지말고 그래도 운동선수로써는 존나멋잇고 유일한 희망임ㅋㅋ,1
3326,ㅅㅂ 이거 뭐냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
3327,@5구2층 원판이 안되니까 뭘입어도....,0
3328,회창옹ㅠㅠㅠ,0
3329,"@익명d9edff 억양 비슷해도 조선족은 딱봐도 짱깨삘 나고 탈북자는 딱봐도 북한삘 나는거?

신기하네ㅋㅋ",2
3330,"기업이 완전 무리라면,
담담자 종북 이라도 본보기로 처벌해야지
채소 미국 입국 못하게 해야되는거 아니냥",2
3331,@인도를가고싶다 ?,2
3332,잘했네 ㅇㅂㅇㅂㅇㅂㅇㅂㅇㅂ,0
3333,저게 자충수지.. 미국은 돈을 뿌려야되는 나라인데 걷어들이고있으니.. 이제하향길밖에없음,2
3334,쪽팔리다 시발 그렇게 일본 불매 외치면 사질말던가 같잖노 시발,2
3335,이 년도 보찢문이었구나,1
3336,ㄹㅇ 씨발 한마디를 안하데,1
3337,쥐덫 따윈 장난감으로 만들어버리노ㄷㄷ,1
3338,그표정ㅋㅋㅋㄱㅋㅋㄱㅋㄱ,1
3339,예전같으면 이런글에 ㅁㅈㅎ 600개는 박혔는데 일베 클린해진거보소,1
3340,대학교 2학년때 여자만나보려고 환경단체활동 3년동안 했는데 아직도 모쏠아다임 ㅠㅜ,3
3341,@계란좋아함 ㅇㄱㄹㅇ 각 분야에서 어느정도 위치에 올리간 여자들은 여자 존나 싫어함ㅋㅋ,3
3342,인권 부르짓던사람들 그저 눈앞의 공포에 잠식 당했지 그래서 강자한태 약하네? ㅋ 근데 왜 미국한태 안꿇냐?,2
3343,@갓도그핫도그 웃었다 개새끼야,0
3344,이영애를 이영자로 봤네,0
3345,ㅋㅋㅋㅋ존나 웃긴게 북한에서 개지랄해도 지네하고 싶은 말만 골라하는거면서 남들보고는 이념에 갇힌 외톨이가 되지말래 ㅋㅋㅋㅋㅋㅋㅋㅋ,2
3346,20살먹고 딸치다가 걸리노..,0
3347,Free hongkong 중국 자금성에서 1인시위하면인정,2
3348,솔직히 저땐 박근혜 박정희 버프가 너무 강햇음,1
3349,"@로리니삭스 기레기 or 사실무근 or 여자가 억지로 등

말은 그냥 지어내면 됨 끝


""기레기"" 붙여서 댓글달고 추천수 조작하면 어떤 기사든 구라로 둔갑가능 ㅋㅋ",3
3350,"안민스톤 시발놈 새끼 미국 못온다
반미하는 새끼, 내가 신고함",2
3351,북한이 동포면 일본은 우리 주인님이라구!!!!!!!!!!!!!!!!!!!,2
3352,이게 시발 나라냐,0
3353,재미있게 잘썼네ㅇㅂ,0
3354,기무사령관 앉혀봐야 재앙이사람앉힐거고 그럼 그사람이 북한에불리한첩보수집하겠나고 수집하더라도 언론에까겠냐 재앙이한테만보고하고 재앙이는덮을거고 결론은 아무의미없다는거지,2
3355,"@익명881eec ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

아새끼 좃찐따 처럼 왜캐 병신같냐 ㅋㅋㅋㅋㅋ

미국응디 쳐빨면 아무문제없슴",2
3356,@익명e56829 무조건 돈과 이득만 따지는 꼭 짱깨식 사고방식이네. 짱꿔는 옆에 꼬마가 납치되도 모른척하고 지나가는 나라고 그 이유는 대부분 사람들이 꼭 니가 씨부린것처럼 오직 돈과 이득만 보고 살기 때문. 넌 중국이 잘 맞는듯.,2
3357,@자갈치3번들 ㅇㅂ,0
3358,@Sepultura 전에 일베 인증도 했는데 ㅠ,1
3359,ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
3360,@익명2e659d 케입이대,3
3361,가분딱좋다ㅋㅋㅋㅋㅋ,0
3362,@귀여운여중생 근데 나 무교다 ㅋ,2
3363,너들 좆같은 국민들이 박근혜를 맞이할 잽이되것냐?,1
3364,그러고보니 진짜 낙타닮았네,3
3365,개씹,0
3366,@친노 죽빵한대만 치게해주면 안되냐?,2
3367,보지 빠ㄹ,3
3368,그냥 여자는 투표권을 주면 안됨,3
3369,엉엉 누나 날가져요 ㅠㅠ,3
3370,"역시 중국최고의 기밀실험실에서 일 할 정도로 똑똑한 수재들이다.
그들의 깊은 뜻을 감히 우리가 헤아릴 수가 없제
중국을 분열시키려고 하는거잖아ㅋㅋ
우리가 지금은 죽일년이라고 욕하지만 대의를 위해 살을 내어주고 뼈를 취하라는 작전인게지",2
3371,문키라,3
3372,ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋ,0
3373,중국 연구소에서는 사스보다 1.6배 전염성강하다고 발표했다던데?,2
3374,오랜만의 정보글 2베,0
3375,@충청도홍어사냥꾼 김현아는 일산 공천 확정됨,1
3376,난 이상하게 호주 그런데 사는애들은 안부럽더라.. 미국에서 쫒겨나야 했었는데.. ㅜㅜ,2
3377,유시민의 거꾸로 읽는 세계사에 저 사진 인용하면서 미국 깠음,2
3378,저분이 그 .. 배에 타고있었다던 그분이겐노,0
3379,현재 독인살면 독일카페해야 하는거 아니냐고 묻는 저것도 수상한년이네 지금 한국사니까 조선족인데 한국까페하나,1
3380,늦게 봤노ㅠ ㅇㅂ는 줌,0
3381,보보가,0
3382,@Pac 고맙다 게이야,0
3383,ㅋㅋㅋㅋ 개웃기네,3
3384,프사뭐냐,2
3385,"@난호남사람이좋노 북한잠수함이 정찰총국 소속이고

북한 잠수함에서 어뢰발사한건데

정찰총국장이 지시한게 아니라고??",2
3386,문재인 마누라 김정숙의 그룹섹스 https://m.blog.naver.com/120christian/221327328976,3
3387,@폭렬왕다마자지 할 줄 몰라,3
3388,@똥꼬거품버블버블 북한은 유엔 가입국이 아니라 백린탄 써서 조져도 된다고 탄약반장한테 들은적 있었다,2
3389,ㅋㅋ 게이 드립에 ㅂㄹ을 탁! 치고 간다 이기야~,1
3390,"@익명b69300 찌개랑 탕은 다른데?

애초에 탕은 중국에서 유래된 식문화임",2
3391,외신에서 보도한 간첩설 맞는 듯,2
3392,@보지씹창 홍준표 친외노자에 다문화 찬성자다 씹새야,3
3393,와 ㅅㅂ 나 고등학교 선배네,1
3394,못뜬건 이유가,1
3395,"ㅇㅇ 맞다 이거 기억난다
한 하루이틀 언론에 나오다 말았던걸로 기억",1
3396,성범죄네 ㅉㅉ,3
3397,헌팅해봤냐?,0
3398,"인랑 남자주연배우 난민우성 친일동원 아니었노?
얘네한테 맞는역할이신가^오^",3
3399,뉴욕이 미국말고 또 있나 시발람아. 역전앞으로 교장선생님댁으로 와라,2
3400,"일전의 여자 유튜버 말하고 똑같음. 치울수 없는 똥이 있고 똥파리가 너무 꼬이고 전국적으로 똥냄새가 만연한 상황. 똥을 치우는게 유일한 해결책인데 똥을 치울수가 없음

이 자명한 이치를 각인시키기위해 이름부터 바꿔야됨

똥라도 똥어",3
3401,@싼마이네 엄중조치는 무슨 문재인이 조선족도 중국동포라고 하면서 존나 감싸줄껀데 ㅋㅋㅋ,2
3402,@g20농땡이문재앙 2220년 대한미국 미안하고 고맙다,2
3403,사실상 전작권 전환 추진한 재앙이가 아베 X맨 아니냐?ㅋㅋ 미국이 한국한테 줄 이점들을 재앙이의 뻘짓외교로 일본이 다 받아먹고 있음ㅋㅋ,2
3404,저지랄해도 문재앙 지지율 봐라ㅋㅋ 국민 수준을 아니까 맘껏 저지랄하는거야,1
3405,팔굽혀 펴기가 중요한게 아닌데 남자 팔하나 또는 발하나만 써도 죽을수 있는게 여잔데,3
3406,와 글씨체봐 씹...,3
3407,"문재인이 외국경험 전무하고, 외국어 하나 변변한게 없으니,
윗 댓글의 누구 말대로, 역관출신 외국경험 있는 여자를 부랴부랴 앉힌거지.
시체팔이 정권찬탈에만 관심이 있었을 뿐, 나라에 대한 구상이나 고민이 있었을 리 없지.
문재인이 정권을 잡는 순간 나라를 이 지랄로 만들어 놓는 것은 고사하고,
문재인 같은 종자들이 세 형성이 가능했을 때부터 우리 나라는 흑역사로 낙점됨.
5번 이상 '정신 똑바로 박힌 보수'의 집권이 연이어져야 하고,
20년 이상 차세대의 교육부터 새로 쓰기를 시작해야만 나라의 씨앗이 그나마 바뀌어 변화될 것 같다.
지금 많은 사람이 문재인을 욕하지만, 그 만큼 숫자의 비뚤어진 반대급부도 존재하는 탓에,
한두번 보수의 대권 차지로는 변화를 기대하기 어려울꺼다.

진심 슬픈 형국이다.",3
3408,"시어머니 버전 없냐?
다 맞는말",3
3409,이태리어 못알아듣는다고 자막 주작아니겠지??,1
3410,솔직히 박통 갇힌데가 내방보다 ㅅㅌㅊ이긴함 상류사회 출신에겐 물론 갑갑하겠지만,1
3411,무식한 새끼 ㅁㅈㅎ,0
3412,아키호 닮았다는 애 키 좀 작고 비율 좋고 몸매는 봐줄만한 20대 중반 아니냐.,3
3413,"대외사정 악재가 너무 많음

사실 대외사정은 3저 호황이던 전두환 정권 빼고는 다들 나쁘긴 했지만

미국이 보호무역을 선언한 지금이 절정 아닌가 싶은데

더구나 중국하고 무역전쟁까지 저질러진 상황임

이명박 정부때도 대외사정이 안좋았던건 나도 알아

그런데 왜 지금만 문재인탓을 하는지 이해가 안되는 부분",2
3414,니가 요새 제일 핫하다,1
3415,비웅신,0
3416,조원진히고 김무성 왜 빠졌냐 이 씨발.,1
3417,씨발 ㅇㅂ 뒈졌노 10.000배 가는게 없노,0
3418,진실을인양하라! 이게 진실이야 세월충들아,1
3419,성범죄자는 그냥 거세가 답임. 전자발찌건 뭐건 재범률이 너무 높아서 의술적 징벌이 필요함,3
3420,"미국을 존나게 우습게 봤던거지ㅋㅋㅋㅋㅋㅋㅋ



세계페권국 top1 미국의 힘을 봐야 정신 차리지",2
3421,@7시2중대신병 헬 헬중국으로 꺼져 패륜짱개 새끼야.,2
3422,홍삼사주고싶다. 힘내랏!!,0
3423,@변악마 내고향 구리 교문리.. 크,0
3424,저새끼 오상방윜,0
3425,개돼지들 어차피 4대강사업 한줄도안읽고 4대강무새이럴꺼뻔함.,1
3426,병신새끼이제알았냐,1
3427,인제군 읍내 식당 울상 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅇㅂ,3
3428,"스푼을 분홍색으로 사용한게 왜 성적끌림을 유도하는거임??
한국년들 9할이 흑두에 흑보지인데 검정색 스푼이 성적끌림을 더 유도하는거 아님??",3
3429,조심해야할 인종은 짱깨새끼들 뿐이라는 뜻인듯,2
3430,나 2만원만ㅠ,0
3431,지성게이야...,0
3432,70도 안된놈이 검버섯 올라온거 봐라 시발~~,3
3433,@익명3f768d 존나 당장 결혼해라,3
3434,김치헤드 든든합니다.^^,3
3435,대통령 황교안 (미래통합당200석 문재인 선사형 후탄핵),1
3436,@g20농땡이문재앙 恶魔6 악마6??,1
3437,"24시 연합뉴스와 YTN뉴스는 문재인의 하수인임이 맞음.

우리는


1. 걱정없이 마스크랑 손세정기를 지원받고

2. 지역감염 된 코로나의 지역상황을 보고 싶은데

3. 마스크 불수급과 검역체계 뚫려 사상초유의 우한폐렴 세계최강 보유국에 입국조치국임에도 불구하고 입이 백개라도 할 말 없는 정부와 여당은 우항폐렴 종식시키고 결과로 얘기하면 되는데 검역체계가 세계최강으로 잘 되어 숫자가 많은거란 자화자찬에 언론을 내세워 신천지 타령만 한다.

정신병자들이 언론이라고 설치고 메르스, 세월호, 그리고, 우한폐렴까지 정쟁의 도구로 이용하여 보 또하나의 신천지 감성 프레임을 만들어 점수 좀 따려는 행동대원 이낙연 전총리, 박원순 서울시장, 이재명 경기도지사가 동원되어 오로지 신천지탓만 하고 있다.

국민들이 신천지 타령을 하더라도 정부와 여당은 책임의식을 가지고 최성을 다하며 언론은 우항폐렴을 정치도구화로 하지 말며 지역감염을 종식시키는데 도움이 되도록 노력을 해야지.

대한민국은 정신병자들만 존재한다.

요즘은 대깨문들의 선동이 너무 눈에 보여 짜증이 너무 난다.",1
3438,동양대있는 영주출신,0
3439,들어볼라고 이어폰 꺼낸 내가 병신이지 ㅋㅋㅋ ㅇㅂ,3
3440,백도어는 핑계고 미국대중국 체제싸움같은데,2
3441,"@안바울 수도권 500명이 되면 반드시 보도했어야 했다. 그 이유는,감염자의 80%는 무증상 혹은 너무 경미해서 코로나는 고사하고 감기인지조차 긴가민가하는 정도인데 비해, 나머지 20%중 그 절반은 통계적으로 ""다른 증상""으로 오진ㆍ오인하고 코로나 검사해도 확진이 안됨. 특히 한국은 16만~20만 원이나 될만큼 비싸서 검사를 꺼림.

즉 감염자의 10% 정도만이 코로나를 강하게 의심할만한 증상이 나타나고 실제로 검사를 받아 확진자가 됨.

따라서. 500명이 확진자라면 실제 감염자는 그 10배인 5000명 수준이고, 통상 임의의 특정인 1명에 대해, 하룻동안 감염범위(1.8미터 반경)안에 근접하는 사람 숫자는 그 특정 일인당 평균 300명. 잠복기인 2주, 즉 15일 동안 약 4500명이 감염 위험 범위에 들어옴.

5000명이 감염자라면, (확진자 500명의 10배), 수도권 인구 2천 5백만의 5000분의 1이고, 위에서 보듯, 15일 동안 스치는 사람 숫자가 4500명이므로, 확률적으로 ""거의 누구나""가 감염자와 1.8미터 이내 거리에서 접촉하게 됨.

따라서 수도권 확진자가 500명인 시점은, 실제 보균자가 5000명이라는 뜻이고, 이 숫자는 ""확률적""으로, 수도권 주민 ""누구나"" 최소 한 번은 2주 기간 동안 접촉한다는 뜻이므로,

바로 500명 확진자가 나오는 시점부터, 폭발적으로 감염자가 증가하느냐 마느냐가 판가름 나는 결정적 분기점이 됨. 해서, 언론은 이 시점을 중시해서 대대적으로 보도하고 경각심을 고취시켰어야 했음.

.",1
3442,글씨체ㅅㅌㅊ,3
3443,@웅덩이에고사리 .,0
3444,그게아니지태영호는 국가기금들고튄거아님? 징역이아니고 총살될거도망왔는데 솔찍히 탈북1세대 국개는 오바다 시벌먼 김정은딱가리100명넘어와서국개들어가면 연방제되뿌겠노,1
3445,"실업계고등학교가 사실상 사라져서 그래. 틀딱이 꼰대짓을 좀 해보면. 20세기까지는 학교진학할때 이상적인 타노스의법칙이 작용했어. 중학교에서 고등학교 갈때 연합고사를 통해 일단 절반이 떨어져. 인문계 절반 가고 절반은 공고 상고 실업계를 가지. 그때 실업계는 지금 특성화랑은 달라. 납땜하고 볼트너트 조이는 수업을 했어. 여자들은 주산 배웠고. 국영수는 기본만 가르치기때문에 실업계 학생들은 학력고사나 수능을 치는게 사실상 불가능했어.
대학갈때 절반이 또 떨어져. 수능을 보통 백만명 넘게 쳤는데 4년제 전체 정원이 50만명이 안됐어. 어떻게 눈치봐서 원서 넣어도 절반은 떨어졌다는거지. 게다가 수능응시생 중 절반은 재학생이 아니라 재수삼수생들이었어.",3
3446,@남자는열매다 ㅋㅋㅋ,3
3447,노라조도 조민 아님?,0
3448,코미디노,3
3449,"@보지털파스타 -ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ야이 개개끼야

똥싸다가 뒤질뻔했다",3
3450,막짤 ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
3451,월세나 내라 시발년아 ㅋㅋㅋ,1
3452,우와 ㄷㄷ 북한사람답네,2
3453,@보지찌꺼기냠냠 너 저 게이 좋아하지? ㅋ,3
3454,@밀로모아 TAIWAN #1~ TAIWAN #1~ TAIWAN #1~,0
3455,@나는야보빨남이다 네다효,3
3456,국민청원 빨리넣어라 ㅅㅂ,1
3457,ㅋㅋㅋ불곰국혼혈게이는 전화해서 욕하드만 ㅋㅋ,3
3458,"사실임. 난 조선족한테 들었다.
밧줄로 묶지도 않아. 가는 낚시줄로 코 에다 엮어
줄줄히 사탕으로 탈북여성들 괸리한다고 함.",1
3459,개같은년 다리미로 질주름을 다폈어야지,3
3460,저 분은 영국에서 정착해야함. 한국오게 되면 독침맞을듯... MI6 보호 아래 영국에서 북한 민낯 다 까발려야한다.,2
3461,미친새끼야 넌 왜 좋아요 눌렀냐?,0
3462,매력있어,3
3463,@익명974473 미세먼지대신 방사능이 불어올듯,1
3464,어이구 화상들...,0
3465,"공익으로서 킹익이 아주 자랑스럽다^^
멋지다",3
3466,@폭도왕김슨상 뒤진다 내꺼다,1
3467,난 흔들리지않을 저신있어,0
3468,@커텐유리너머 부부가 절라도,3
3469,중국을 더 좋아하고 무서워하니 미국 버리고 중국 독재 삘갱이 밑으로 개돼지들과 함께 들어 가야 할것같다 ㅋㅋㅋ,2
3470,실례지만서도 으데 응씬교,1
3471,"@대륙짱깨좀뒤져라 너 중국 무교지? 박수 내시 무당이야?

니 핸드폰에 타유저가 크리스탈처럼 보이냐?


너 패륜 홍위병 귀신빙의 했으니까 도움 찾아라.",2
3472,여자는 제대로 된 섹스로봇 나오는순간 좆되는거임ㅋㅋ,3
3473,@방구석육포 맨날김치타령이노,1
3474,@보지말고자지말고 그러네 ㅇㅂㅁ,3
3475,틀딱이 만든거 같은데 문워크 좀 웃겼다 ㅋㅋㅋㅋ,1
3476,배급받는 나라 아님ㅋㅋ 못받아 ㅋㅋ,1
3477,하기 싫은 거 억지로 하려니...,3
3478,@조선반도탈출 ㅋㅋㅋㅋㅋㅋ 미친놈,1
3479,ㅋㅋㅋ한국이 2천년간 섬기고 조공보내는 중국에선 청산가리가 피임약으론 최고로 친다.,2
3480,"가뭄예방 물확보 다 좋은데, 60년대식 난개발 좀 안했으면 한다.

중국도 아니고, 환경보전하며 개발 할 능력이 없는건가",2
3481,@정법규 얘 공인 아니야. 공인의 공자도 꺼내지마 몇몇 무식한 개돼지 맘충들이 공인공인 하잖아.,1
3482,중국가서 학력세탁,2
3483,@익명e320d8 이갈이,0
3484,지오영 주식 아니잖아,1
3485,@nuclearDJ ㅇㄱㄹㅇ,0
3486,옹!수메르인!,0
3487,옳바른?,0
3488,와 엉덩이봐 아아아 누나~허어엉,3
3489,@CIA맥다널 네다쌍,0
3490,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ잘한다 잘해,0
3491,"병신새끼들 꼴 좋다 ㅋㅋㅋㅋㅋㅋㅋㅋ

여윾시 지 대가리가 꺠져야 정신차림",1
3492,"@심리학과생 그걸 뽑은게 한국인임

한미일 동맹보다 중국 속국을 원하는 국민이 더 많다는 이야기야",2
3493,"짱깨한테 돈 받는 놈들 ㅈㄴ 많다던데 ㅋㅋ

거품물고 아닙니다 아닙니다

웅 느그나라 장깨 거품으로 처 망하는중",2
3494,1000,0
3495,첫연애 상대가 돼 주고 싶다! 첫남친 되고 싶다,3
3496,이 대목서 서면 이상한거지,1
3497,"일단 오현주 얼굴 가려서 ㅁㅈㅎ




내가 문재인 당선되기 전부터 계속 했던말이
문재인은 친북이 아니라 짱깨스파이라는거였음
북한하고 지랄하던거는 짱깨의 이익을 위해서였고 항상 배후에는 짱깨가 있었다
잊기마라 문재인은 시종일관 짱깨편이었다 여태까지 해왔던 정책만 봐도 알수있음",2
3498,솔직히 짱깨 카레 둘이 맞짱까면 카레가 이길 것 같다,2
3499,"@I.삼일한.U 아,
짱개세요?",1
3500,그럴일은 없겠지만 싸대기 한대 처맞는꼴 좀 봤으면,3
3501,베트남 응디 따숩노?,2
3502,북한 아니냐??ㅋㅋㅋㅋㅋ,2
3503,졸라 촐싹대네 결혼 안한 남자는 어쩔수 없나바,3
3504,손연재가 더 이쁘네 비밀친구 하고싶다,3
3505,미국 지도층도 중국의 이런 파벌싸움 파악하고있냐?,2
3506,@K7hybrid 이게 일베다 어디서 못배운 티를 내고있노 ㅋㅋㅋ,0
